Book,Author,Genres,Avg_Rating
V for Vendetta,Alan Moore,"Graphic Novels, Comics, Fiction, Dystopia, Science Fiction, Graphic Novels Comics, Classics","4,26"
The Complete Works,William Shakespeare,"Classics, Poetry, Fiction, Plays, Drama, Literature, Reference","4,47"
Julius Caesar,William Shakespeare,"Classics, Plays, Fiction, Drama, School, Historical Fiction, Read For School","3,7"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"Historical Fiction, Fiction, Romance, Historical, World War II, Book Club, War","4,19"
The Elements of Style,William Strunk Jr.,"Writing, Nonfiction, Reference, Language, Classics, Education, Self Help","4,18"
The Importance of Being Earnest,Oscar Wilde,"Classics, Plays, Fiction, Drama, Humor, Literature, School","4,18"
For Whom the Bell Tolls,Ernest Hemingway,"Classics, Fiction, Historical Fiction, Literature, War, Novels, American","3,98"
David Copperfield,Charles Dickens,"Classics, Fiction, Literature, Historical Fiction, 19th Century, Novels, British Literature","4,02"
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"Nonfiction, History, Biography, World War II, War, Historical, Audiobook","4,37"
The Thorn Birds,Colleen McCullough,"Fiction, Historical Fiction, Romance, Classics, Australia, Historical, Historical Romance","4,24"
Death of a Salesman,Arthur  Miller,"Classics, Plays, Fiction, Drama, School, Theatre, Literature","3,56"
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Nonfiction, Travel, Memoir, Humor, Nature, Adventure, Audiobook","4,06"
Othello,William Shakespeare,"Classics, Plays, Fiction, Drama, School, Theatre, Literature","3,89"
The Communist Manifesto,Karl Marx,"Philosophy, Nonfiction, Politics, Classics, History, Economics, Sociology","3,64"
Beowulf,Unknown,"Classics, Poetry, Fiction, Fantasy, Mythology, School, Literature","3,47"
Norwegian Wood,Haruki Murakami,"Fiction, Romance, Japan, Contemporary, Japanese Literature, Novels, Classics","4,02"
It,Stephen King,"Horror, Fiction, Thriller, Fantasy, Audiobook, Classics, Mystery","4,25"
Room,Emma Donoghue,"Fiction, Contemporary, Adult, Thriller, Adult Fiction, Audiobook, Book Club","4,07"
A Fine Balance,Rohinton Mistry,"Fiction, Historical Fiction, India, Indian Literature, Literary Fiction, Canada, Historical","4,37"
Thirteen Reasons Why,Jay Asher,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Mystery, Teen","3,86"
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,"History, Nonfiction, World War I, Biography, War, Travel, Politics","3,78"
The Awakening,Kate Chopin,"Classics, Fiction, Feminism, School, Literature, Historical Fiction, Read For School","3,67"
The Martian Chronicles,Ray Bradbury,"Science Fiction, Fiction, Classics, Short Stories, Fantasy, Science Fiction Fantasy, Audiobook","4,15"
The Reader,Bernhard Schlink,"Fiction, Historical Fiction, Classics, German Literature, Romance, Holocaust, Historical","3,77"
Who Moved My Cheese?,Spencer Johnson,"Nonfiction, Self Help, Business, Psychology, Leadership, Personal Development, Management","3,86"
The Plague,Albert Camus,"Fiction, Classics, Philosophy, France, Literature, French Literature, Novels","4,02"
"Lamb: The Gospel According to Biff, Christs Childhood Pal",Christopher Moore,"Fiction, Humor, Historical Fiction, Fantasy, Religion, Comedy, Historical","4,22"
"Cry, the Beloved Country",Alan Paton,"Fiction, Classics, Africa, Historical Fiction, South Africa, Literature, School","3,91"
Do Androids Dream of Electric Sheep?,Philip K. Dick,"Science Fiction, Fiction, Classics, Dystopia, Cyberpunk, Science Fiction Fantasy, Fantasy","4,09"
Holy Bible: New International Version,Anonymous,"Religion, Christian, Nonfiction, Classics, Christianity, Reference, Spirituality","4,61"
Much Ado About Nothing,William Shakespeare,"Classics, Plays, Fiction, Drama, Romance, School, Theatre","4,06"
The Elephant Tree,R.D. Ronald,"Thriller, Fiction, Mystery, Crime, Drama, Suspense, Contemporary","3,69"
Steppenwolf,Hermann Hesse,"Fiction, Classics, Philosophy, German Literature, Literature, Novels, Germany","4,13"
"Faust, First Part",Johann Wolfgang von Goethe,"Classics, Fiction, Plays, Poetry, German Literature, Drama, Literature","3,87"
Johnny Got His Gun,Dalton Trumbo,"Fiction, Classics, War, Historical Fiction, Horror, Literature, Novels","4,19"
The Cider House Rules,John Irving,"Fiction, Classics, Historical Fiction, Literature, Literary Fiction, Contemporary, Novels","4,15"
Inferno,Dante Alighieri,"Classics, Poetry, Fiction, Literature, Religion, Fantasy, School","4,02"
The Pilgrims Progress,John Bunyan,"Classics, Fiction, Christian, Religion, Christian Fiction, Christianity, Theology","4,03"
Kafka on the Shore,Haruki Murakami,"Fiction, Magical Realism, Fantasy, Japan, Japanese Literature, Contemporary, Novels","4,14"
Dead Poets Society,N.H. Kleinbaum,"Classics, Fiction, Young Adult, Contemporary, Poetry, Novels, Drama","4,19"
Fear and Loathing in Las Vegas,Hunter S. Thompson,"Fiction, Classics, Humor, Journalism, Novels, Literature, American","4,07"
Common Sense,Thomas Paine,"History, Nonfiction, Classics, Philosophy, Politics, American History, Essays","3,99"
Gone Girl,Gillian Flynn,"Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Contemporary","4,12"
A Walk to Remember,Nicholas Sparks,"Romance, Fiction, Contemporary, Young Adult, Chick Lit, Adult, Contemporary Romance","4,19"
The Complete Persepolis,Marjane Satrapi,"Graphic Novels, Nonfiction, Comics, Memoir, Biography, History, Feminism","4,39"
Shantaram,Gregory David Roberts,"Fiction, India, Travel, Adventure, Contemporary, Novels, Historical Fiction","4,27"
The Art of Racing in the Rain,Garth Stein,"Fiction, Animals, Contemporary, Dogs, Audiobook, Adult Fiction, Adult","4,22"
Silent Spring,Rachel Carson,"Nonfiction, Science, Environment, Nature, Classics, Ecology, History","4,02"
Cloud Atlas,David Mitchell,"Fiction, Science Fiction, Fantasy, Historical Fiction, Dystopia, Contemporary, Literary Fiction","4,01"
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Nonfiction, Science, History, Biography, Medicine, Audiobook, Medical","4,1"
Cosmos,Carl Sagan,"Science, Nonfiction, Physics, Astronomy, History, Space, Philosophy","4,39"
The Zombie Room,R.D. Ronald,"Thriller, Fiction, Mystery, Crime, Drama, Suspense, Novels","3,74"
Native Son,Richard Wright,"Fiction, Classics, Historical Fiction, African American, Race, Literature, Novels","4,02"
The Glass Menagerie,Tennessee Williams,"Plays, Classics, Drama, Fiction, School, Theatre, Literature","3,73"
Waiting for Godot,Samuel Beckett,"Plays, Classics, Fiction, Drama, Theatre, Literature, Philosophy","3,84"
Girl with a Pearl Earring,Tracy Chevalier,"Historical Fiction, Fiction, Historical, Classics, Art, Romance, Adult","3,92"
The Once and Future King,T.H. White,"Fantasy, Classics, Fiction, Historical Fiction, Arthurian, Mythology, Young Adult","4,07"
The Four Agreements,Miguel Ruiz,"Self Help, Nonfiction, Spirituality, Philosophy, Personal Development, Psychology, Inspirational","4,18"
Old Yeller,Fred Gipson,"Classics, Fiction, Young Adult, Childrens, Animals, Historical Fiction, Dogs","4,09"
Heidi,Johanna Spyri,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical","4,02"
Chasing the Devil: The Search for Africas Fighting Spirit,Tim Butcher,"Africa, Travel, Nonfiction, History, Adventure, Liberia, Sierra Leone","4,12"
The Idiot,Fyodor Dostoevsky,"Classics, Fiction, Russia, Russian Literature, Literature, Novels, Philosophy","4,2"
American Psycho,Bret Easton Ellis,"Fiction, Horror, Classics, Thriller, Crime, Contemporary, Novels","3,81"
Black Beauty,Anna Sewell,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction","3,98"
Narrative of the Life of Frederick Douglass,Frederick Douglass,"Nonfiction, History, Classics, Biography, Memoir, School, Autobiography","4,09"
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Nonfiction, Economics, Business, Science, Psychology, Sociology, Finance",4
Life Application Study Bible: NIV,Anonymous,"Christian, Religion, Nonfiction, Christianity, Reference, Spirituality, Faith","4,64"
The Night Circus,Erin Morgenstern,"Fantasy, Fiction, Romance, Historical Fiction, Magical Realism, Magic, Young Adult","4,03"
The Complete Poems of Emily Dickinson,Emily Dickinson,"Poetry, Classics, Fiction, Literature, American, 19th Century, Classic Literature","4,26"
Mrs. Dalloway,Virginia Woolf,"Classics, Fiction, Literature, Novels, Feminism, British Literature, 20th Century","3,79"
The Jungle Books,Rudyard Kipling,"Classics, Fiction, Childrens, Fantasy, Adventure, Short Stories, Literature","4,01"
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"Fiction, Childrens, Young Adult, Middle Grade, Mystery, Classics, Realistic Fiction","4,15"
The War of the Worlds,H.G. Wells,"Classics, Science Fiction, Fiction, Fantasy, Horror, Science Fiction Fantasy, Literature","3,83"
The Sound and the Fury,William Faulkner,"Classics, Fiction, Literature, Novels, American, 20th Century, Southern Gothic","3,86"
Mansfield Park,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, 19th Century, Historical","3,86"
All the Light We Cannot See,Anthony Doerr,"Historical Fiction, Fiction, Historical, War, World War II, Audiobook, Adult","4,32"
The Epic of Gilgamesh,Anonymous,"Classics, Poetry, Fiction, Mythology, Literature, Fantasy, School","3,72"
The Diving Bell and the Butterfly,Jean-Dominique Bauby,"Nonfiction, Memoir, Biography, Biography Memoir, Autobiography, France, Medicine","3,98"
The Bluest Eye,Toni Morrison,"Fiction, Classics, Historical Fiction, African American, Race, Literature, Novels","4,1"
Breakfast at Tiffanys and Three Stories,Truman Capote,"Classics, Fiction, Short Stories, Romance, American, Literature, Audiobook","3,85"
Anthem,Ayn Rand,"Fiction, Classics, Dystopia, Philosophy, Science Fiction, School, Literature","3,62"
The Heart Is a Lonely Hunter,Carson McCullers,"Fiction, Classics, Literature, Novels, American, Historical Fiction, Southern","3,99"
The Art of Happiness,Dalai Lama XIV,"Nonfiction, Philosophy, Spirituality, Self Help, Buddhism, Psychology, Religion","4,17"
The Remains of the Day,Kazuo Ishiguro,"Fiction, Historical Fiction, Classics, Literary Fiction, Historical, Literature, Novels","4,14"
The Thirteenth Tale,Diane Setterfield,"Fiction, Mystery, Historical Fiction, Gothic, Books About Books, Fantasy, Adult","3,97"
White Fang,Jack London,"Classics, Fiction, Adventure, Animals, Young Adult, Historical Fiction, Literature","4,01"
Marley and Me: Life and Love With the Worlds Worst Dog,John Grogan,"Nonfiction, Memoir, Animals, Biography, Dogs, Humor, Biography Memoir","4,14"
Mistress Suffragette,Diana   Forbes,"Historical Fiction, Fiction, Romance, New Adult, Historical, Adult, Young Adult","4,29"
Still Alice,Lisa Genova,"Fiction, Contemporary, Psychology, Book Club, Adult Fiction, Adult, Audiobook","4,32"
Shes Come Undone,Wally Lamb,"Fiction, Contemporary, Chick Lit, Adult Fiction, Coming Of Age, Novels, Adult","3,9"
Houdini Heart,Ki Longfellow,"Horror, Fantasy, Fiction, Mystery, Magical Realism, Gothic, Literature","3,82"
Around the World in Eighty Days,Jules Verne,"Classics, Fiction, Adventure, Science Fiction, France, Travel, Fantasy","3,94"
King Lear,William Shakespeare,"Classics, Plays, Drama, Fiction, School, Theatre, Literature","3,91"
Middlemarch,George Eliot,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Victorian, Novels",4
The Wind-Up Bird Chronicle,Haruki Murakami,"Fiction, Magical Realism, Japan, Japanese Literature, Fantasy, Contemporary, Novels","4,15"
Northanger Abbey,Jane Austen,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, 19th Century","3,84"
The Omnivores Dilemma: A Natural History of Four Meals,Michael Pollan,"Nonfiction, Food, Science, Health, History, Nutrition, Environment","4,18"
Different Seasons,Stephen King,"Horror, Fiction, Short Stories, Thriller, Mystery, Fantasy, Drama","4,35"
Sarahs Key,Tatiana de Rosnay,"Historical Fiction, Fiction, Holocaust, Historical, World War II, France, War","4,17"
The Hunchback of Notre-Dame,Victor Hugo,"Classics, Fiction, Historical Fiction, France, Literature, French Literature, Gothic","4,01"
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,"Classics, Fiction, Russia, Philosophy, Russian Literature, Literature, Novels","4,18"
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,"Nonfiction, Food, Health, Sociology, Politics, History, Science","3,75"
Veronika Decides to Die,Paulo Coelho,"Fiction, Contemporary, Philosophy, Novels, Psychology, Romance, Mental Health","3,72"
Breakfast of Champions,Kurt Vonnegut Jr.,"Fiction, Classics, Science Fiction, Humor, Literature, Novels, American","4,07"
I Know This Much Is True,Wally Lamb,"Fiction, Contemporary, Novels, Literary Fiction, Adult Fiction, Mental Illness, Adult","4,2"
A Portrait of the Artist as a Young Man,James Joyce,"Classics, Fiction, Literature, Irish Literature, Ireland, Novels, 20th Century","3,63"
The Power of Myth,Joseph Campbell,"Nonfiction, Mythology, Philosophy, History, Religion, Psychology, Spirituality","4,26"
The Secret History,Donna Tartt,"Fiction, Mystery, Classics, Contemporary, Thriller, Literary Fiction, Mystery Thriller","4,17"
Harper Lees To Kill a Mockingbird,Harold Bloom,"Classics, Fiction, Historical Fiction, Literature, High School, School, Literary Criticism","4,43"
World War Z: An Oral History of the Zombie War,Max Brooks,"Horror, Fiction, Zombies, Science Fiction, Fantasy, Post Apocalyptic, Dystopia","4,02"
White Oleander,Janet Fitch,"Fiction, Contemporary, Coming Of Age, Drama, Adult Fiction, Chick Lit, Literary Fiction","3,99"
11/22/1963,Stephen King,"Fiction, Historical Fiction, Science Fiction, Time Travel, Fantasy, Horror, Thriller","4,33"
Snow Flower and the Secret Fan,Lisa See,"Historical Fiction, Fiction, China, Historical, Asia, Book Club, Adult","4,09"
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,"Christian, Nonfiction, Religion, Self Help, Spirituality, Christianity, Faith","3,96"
The Prince and the Pauper,Mark Twain,"Classics, Fiction, Historical Fiction, Literature, Childrens, Adventure, Young Adult","3,86"
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"Nonfiction, Self Help, Relationships, Psychology, Marriage, Christian, Personal Development","4,27"
The Martian,Andy Weir,"Science Fiction, Fiction, Audiobook, Adventure, Space, Adult, Thriller","4,41"
The Autobiography of Benjamin Franklin,Benjamin Franklin,"Biography, History, Nonfiction, Classics, Autobiography, Memoir, American History","3,85"
The Merchant of Venice,William Shakespeare,"Classics, Plays, Fiction, Drama, School, Literature, Theatre","3,79"
The Selfish Gene,Richard Dawkins,"Science, Nonfiction, Biology, Evolution, Philosophy, Psychology, Popular Science","4,15"
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Fiction, Historical Fiction, Novels, Literature, Historical, Literary Fiction, Contemporary","4,18"
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,"Classics, Short Stories, Fiction, Feminism, Horror, Literature, School","4,05"
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"History, Nonfiction, World War II, War, Politics, Germany, Historical","4,19"
The Prince of Tides,Pat Conroy,"Fiction, Classics, Romance, Southern, Contemporary, Literary Fiction, Drama","4,25"
Cold Mountain,Charles Frazier,"Historical Fiction, Fiction, Historical, Romance, Civil War, War, Classics","3,88"
A Room of Ones Own,Virginia Woolf,"Classics, Nonfiction, Feminism, Essays, Philosophy, Writing, Literature","4,2"
The Memory Keepers Daughter,Kim Edwards,"Fiction, Contemporary, Historical Fiction, Adult Fiction, Adult, Book Club, Drama","3,69"
Outliers: The Story of Success,Malcolm Gladwell,"Nonfiction, Psychology, Business, Self Help, Sociology, Science, Audiobook","4,19"
Lady Chatterleys Lover,D.H. Lawrence,"Classics, Fiction, Romance, Literature, Banned Books, Novels, Erotica","3,5"
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Self Help, Nonfiction, Spirituality, Philosophy, Psychology, Personal Development, Audiobook","4,15"
The Witches,Roald Dahl,"Fantasy, Childrens, Fiction, Classics, Middle Grade, Young Adult, Witches","4,17"
